id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
235808,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86
326344,0.0318,0.767,281613,0.839,9.31e-06,8,0.111,-5.519,1,0.0613,98.055,4,0.461
167928,0.274,0.824,374760,0.886,0.0,7,0.0694,-9.929,1,0.139,115.02,4,0.25
2186799,0.717,0.534,167373,0.247,8.19e-05,3,0.119,-16.588,0,0.0435,80.5,3,0.566
1835541,0.0544,0.877,298120,0.854,5.5e-05,1,0.144,-4.523,1,0.147,114.472,4,0.54
1896500,0.301,0.566,170600,0.482,0.0,6,0.269,-13.047,1,0.0411,109.046,4,0.856
189693,0.235,0.777,188613,0.7,8.02e-06,1,0.836,-11.045,1,0.0869,122.94,4,0.802
524234,0.194,0.812,238333,0.721,0.0,6,0.248,-5.084,1,0.206,94.939,4,0.772
1690277,0.162,0.753,308360,0.545,4.7e-05,2,0.241,-10.685,0,0.21,173.227,4,0.917
831465,0.0249,0.947,431800,0.607,4.76e-06,10,0.0861,-10.58,0,0.202,100.619,4,0.732
1392537,0.12,0.698,270002,0.774,2.26e-06,0,0.409,-8.642,1,0.048,133.197,4,0.731
1066017,0.0651,0.714,182947,0.688,0.0,1,0.268,-5.236,1,0.0619,143.954,4,0.76
1057214,0.00411,0.808,177842,0.888,0.00125,5,0.0584,-2.435,0,0.117,124.989,4,0.788
1140122,0.00513,0.808,407053,0.881,0.0127,0,0.0688,-8.249,1,0.0338,120.392,4,0.963
830930,0.0236,0.92,293827,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847
167541,0.0887,0.65,239120,0.658,0.00403,10,0.0526,-10.908,0,0.085,100.541,4,0.883
282392,0.0412,0.723,298133,0.539,0.0132,0,0.0343,-8.041,1,0.038,108.946,4,0.283
1850789,0.205,0.879,212907,0.626,6.07e-05,7,0.056,-6.344,1,0.0604,110.864,4,0.968
196782,0.00216,0.829,261853,0.573,0.00432,6,0.612,-10.316,0,0.224,111.848,4,0.803
1549684,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
1607991,0.225,0.883,250200,0.664,2.3e-06,4,0.941,-10.395,1,0.411,118.104,4,0.8
1285187,0.117,0.634,331240,0.528,2.26e-06,1,0.0565,-8.834,1,0.0309,128.0,4,0.18
109224,0.121,0.869,339320,0.648,2.17e-05,11,0.126,-8.698,0,0.0633,125.035,4,0.9
1693340,0.079,0.642,351467,0.423,0.0,5,0.0663,-9.283,0,0.0249,149.61,3,0.505
6215,0.0984,0.621,256133,0.481,0.0,11,0.241,-8.016,1,0.0371,65.004,4,0.679
742229,0.226,0.744,212040,0.397,0.0,6,0.124,-9.778,1,0.0296,109.841,4,0.289
1163846,0.512,0.523,217867,0.606,0.0,1,0.106,-4.754,0,0.0301,145.837,4,0.065
717794,0.201,0.681,293840,0.529,0.0,7,0.184,-7.897,0,0.0341,91.081,4,0.568
1591671,0.465,0.9,427360,0.845,0.0,11,0.0724,-7.306,0,0.257,111.187,4,0.914
1117509,0.0227,0.816,247840,0.5,1.53e-06,1,0.0733,-4.551,1,0.03,124.037,4,0.649
46297,0.0193,0.811,268533,0.458,1.41e-06,5,0.0526,-9.688,0,0.0402,92.94,4,0.797
393930,0.23,0.888,238733,0.815,0.000424,11,0.127,-4.909,0,0.0404,127.273,4,0.961
1952260,0.466,0.485,482360,0.441,0.000936,1,0.485,-8.248,0,0.0775,140.009,4,0.511
1904800,0.0556,0.773,236907,0.689,0.000191,1,0.0721,-4.738,0,0.0408,98.008,4,0.375
1907636,0.0514,0.67,160500,0.619,0.0,0,0.0492,-10.365,0,0.0323,108.826,4,0.807
529647,0.246,0.832,205467,0.797,0.0,9,0.0545,-8.194,0,0.0487,132.431,4,0.961
31644,0.00644,0.687,227293,0.903,0.0399,8,0.119,-4.16,1,0.0342,125.991,4,0.585
1982738,0.139,0.902,298867,0.655,0.0303,1,0.0672,-11.862,1,0.0576,121.647,4,0.911
1848158,0.0296,0.769,285027,0.852,1.38e-06,7,0.44,-2.763,1,0.0438,91.532,4,0.76
640197,0.0186,0.623,217347,0.877,0.0144,11,0.0729,-7.788,1,0.066,124.432,4,0.517
1493538,0.835,0.654,259307,0.452,2.89e-05,2,0.16,-9.709,1,0.03,106.662,3,0.691
1585544,0.284,0.638,241093,0.426,0.000193,9,0.0627,-9.046,1,0.0524,100.158,4,0.788
154426,0.929,0.624,180600,0.203,4.29e-06,6,0.0881,-11.017,1,0.0346,117.078,4,0.34
43639,0.759,0.911,140750,0.622,0.000245,2,0.0814,-7.528,1,0.0477,113.354,4,0.982
225166,0.272,0.84,308627,0.651,0.0461,1,0.106,-8.066,0,0.0719,160.003,4,0.817
1553234,0.166,0.576,227800,0.644,0.000191,5,0.142,-6.141,1,0.0261,101.938,4,0.313
70557,0.228,0.473,312520,0.379,0.0408,10,0.233,-12.893,0,0.0407,116.78,4,0.373
195261,0.196,0.595,268893,0.701,0.171,11,0.135,-13.502,0,0.0824,133.991,4,0.282
444865,0.334,0.557,163000,0.307,0.00133,2,0.34,-13.03,1,0.027,73.934,4,0.63
934215,0.0115,0.7,245227,0.405,0.684,3,0.127,-13.056,0,0.102,82.673,4,0.756
1082720,0.192,0.669,251227,0.589,0.000452,7,0.346,-13.018,1,0.03,122.834,4,0.728
710566,0.873,0.579,191560,0.164,3.29e-06,10,0.217,-16.947,1,0.0544,108.443,4,0.311
1383535,0.388,0.502,191320,0.54,6.89e-05,9,0.0908,-12.935,1,0.0546,120.816,4,0.873
1916013,0.393,0.478,204827,0.676,0.0,3,0.0758,-6.921,1,0.0362,161.786,3,0.967
762772,0.389,0.631,262787,0.746,0.0,1,0.442,-9.541,0,0.132,119.074,4,0.847
918134,0.000117,0.536,272078,0.944,0.00345,1,0.353,-3.029,1,0.0867,174.031,4,0.589
1905824,0.698,0.544,214519,0.214,0.0403,9,0.122,-15.409,1,0.0369,122.954,4,0.334
1730593,0.879,0.709,138517,0.254,0.339,2,0.208,-12.877,1,0.0352,113.981,4,0.638
1453002,0.264,0.527,219733,0.323,0.000168,2,0.296,-18.418,0,0.0312,90.711,4,0.439
2001124,0.00132,0.844,227815,0.545,0.0,4,0.569,-7.764,0,0.235,100.003,4,0.299
161792,0.814,0.589,205800,0.91,0.863,7,0.0895,-7.487,1,0.0353,128.543,4,0.973
2183475,0.571,0.897,202693,0.676,0.674,9,0.0429,-8.889,0,0.0624,137.647,4,0.969
1333401,7.9e-05,0.581,247400,0.955,0.195,7,0.27,-3.275,1,0.156,126.475,4,0.69
1950977,0.211,0.806,195467,0.604,0.000138,10,0.0948,-8.532,0,0.062,85.002,4,0.604
575018,0.0798,0.476,177440,0.65,0.000126,0,0.0893,-8.386,1,0.0371,133.845,4,0.628
670820,0.698,0.746,147187,0.62,0.0,10,0.0752,-5.231,1,0.0501,113.493,4,0.766
128083,0.0662,0.755,211333,0.776,0.71,7,0.206,-9.059,0,0.0657,149.669,4,0.897
916075,0.601,0.786,171720,0.29,0.00211,0,0.104,-14.092,0,0.04,119.372,4,0.544
1544069,0.00253,0.372,296627,0.483,0.191,9,0.11,-9.32,0,0.0318,134.007,4,0.251
2138204,0.00946,0.849,240453,0.638,0.0,6,0.152,-8.359,1,0.326,105.008,4,0.523
309249,0.00121,0.62,258067,0.99,1.43e-06,10,0.0776,-2.805,0,0.0856,123.005,4,0.698
341484,0.89,0.377,209187,0.387,0.427,5,0.108,-11.688,1,0.029,149.126,4,0.644
1492901,0.107,0.802,211733,0.791,0.000953,5,0.088,-8.366,0,0.0361,144.056,4,0.983
1501063,0.788,0.662,158947,0.667,0.868,7,0.123,-8.583,0,0.031,127.276,4,0.466
1789845,0.727,0.571,272760,0.542,0.0339,10,0.373,-9.033,0,0.0304,158.001,4,0.539
94309,0.169,0.722,210293,0.465,0.0256,1,0.11,-8.293,1,0.0975,171.969,4,0.344
1751607,0.00415,0.424,186880,0.728,0.0,9,0.251,-6.229,0,0.0348,175.976,4,0.763
1998817,0.00679,0.805,261827,0.723,0.0,7,0.244,-6.808,1,0.224,88.006,4,0.641
1447004,0.0193,0.622,185960,0.876,0.00684,10,0.0987,-6.31,1,0.0305,104.97,4,0.867
1945650,0.162,0.716,222000,0.753,0.0306,2,0.0831,-5.682,1,0.0286,120.141,4,0.561
1301053,0.186,0.856,266827,0.495,0.000209,8,0.0709,-5.903,1,0.0523,83.982,4,0.667
1433187,0.00388,0.97,180533,0.659,0.814,0,0.106,-6.486,1,0.189,109.977,4,0.717
1036285,0.0351,0.516,228707,0.885,0.00133,8,0.107,-3.958,0,0.0505,175.977,4,0.616
1891325,0.512,0.659,234373,0.891,0.473,9,0.586,-7.112,1,0.0418,92.462,4,0.77
2205237,0.782,0.399,242400,0.262,0.654,5,0.0986,-10.245,1,0.0326,103.248,3,0.233
1327517,0.146,0.588,399133,0.4,0.727,5,0.0914,-17.095,0,0.039,89.281,4,0.442
113791,0.496,0.635,313880,0.275,0.143,5,0.109,-20.085,0,0.0394,96.737,4,0.323
1229198,0.206,0.453,262747,0.682,0.0,0,0.0927,-8.759,0,0.0277,83.392,4,0.546
26946,0.898,0.516,168880,0.339,4.65e-05,7,0.141,-10.91,1,0.0336,111.463,4,0.398
1838794,0.00256,0.641,206551,0.599,0.0,5,0.369,-7.405,1,0.162,83.012,4,0.34
